year,title,bechdel_score,pass_bechdel,budget_2013,domgross_2013,intgross_2013,decade,imdb_id,language,metascore,imdb_rating,award_winner,runtime,profit,ROI,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
2013,Nebraska,Passes Bechdel,TRUE,12000000,17482517,17482517,2010 - present,1821549,"English, Spanish",86,7.9,FALSE,115,5482517,0.4568764166666667,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Now You See Me,Don't talk to each other,FALSE,75000000,117723989,351723989,2010 - present,1670345,English,50,7.3,FALSE,115,276723989,3.689653186666667,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Oblivion,Only talk about men,FALSE,120000000,89107235,287537983,2010 - present,1483013,English,54,7,FALSE,124,167537983,1.3961498583333334,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Olympus Has Fallen,Don't talk to each other,FALSE,70000000,98927592,150562164,2010 - present,2302755,"English, Korean",41,6.5,FALSE,119,80562164,1.1508880571428572,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Oz the Great and Powerful,Passes Bechdel,TRUE,200000000,234770996,489570996,2010 - present,1623205,English,44,6.4,FALSE,130,289570996,1.44785498,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Pacific Rim,Don't talk to each other,FALSE,190000000,101802906,411002906,2010 - present,1663662,"English, Japanese, Cantonese, Mandarin",64,7.1,FALSE,131,221002906,1.1631731894736843,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Pain & Gain,Don't talk to each other,FALSE,26000000,49875291,81275291,2010 - present,1980209,NA,NA,NA,NA,NA,55275291,2.125972730769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Parker,Passes Bechdel,TRUE,35000000,17616641,46346651,2010 - present,1904996,English,43,6.2,FALSE,118,11346651,0.3241900285714286,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Peeples,Dubious,FALSE,15000000,9177065,9177065,2010 - present,1699755,English,52,5,FALSE,95,-5822935,-0.38819566666666666,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Percy Jackson: Sea of Monsters,Passes Bechdel,TRUE,90000000,68559554,200859554,2010 - present,1854564,English,39,6,FALSE,106,110859554,1.2317728222222222,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Prisoners,Passes Bechdel,TRUE,46000000,61002302,113402302,2010 - present,1392214,English,74,8.1,FALSE,153,67402302,1.4652674347826087,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,R.I.P.D.,Don't talk to each other,FALSE,130000000,33618855,79019947,2010 - present,0790736,English,25,5.6,FALSE,96,-50980053,-0.3921542538461538,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Red 2,Passes Bechdel,TRUE,84000000,53262560,137162560,2010 - present,1821694,NA,NA,NA,NA,NA,53162560,0.632887619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,Riddick,Don't talk to each other,FALSE,38000000,42025135,92425135,2010 - present,1411250,English,49,6.4,FALSE,119,54425135,1.432240394736842,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Runner Runner,Less than 2 women,FALSE,30000000,19316646,62616646,2010 - present,2364841,English,36,5.6,FALSE,91,32616646,1.0872215333333333,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,Rush,Don't talk to each other,FALSE,38000000,26947624,43047624,2010 - present,1979320,"English, German, Italian, French",75,8.3,FALSE,123,5047624,0.1328322105263158,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
